的	de_dí_dì
认	rèn
交	jiāo
受	shòu
阶	jiē
色	sè_shǎi
联	lián
极	jí
美	měi
济	jì_jǐ
更	gēng_gèng
打	dǎ_dá
改	gǎi
再	zài
增	zēng
收	shōu
清	qīng
切	qiē_qiè
真	zhēn
教	jiào_jiāo
场	cháng_chǎng
权	quán_shù
安	ān
万	wàn_mò
术	shù_shú_zhú
证	zhèng
身	shēn
务	wù
走	zǒu
带	dài
斗	dǒu_dòu
角	jiǎo_jué
单	dān_shàn_chán
花	huā
目	mù
完	wán
声	shēng_qìng
热	rè
报	bào
八	bā
白	bái
才	cái
具	jù
至	zhì
张	zhāng
马	mǎ
每	měi
话	huà
达	dá_tà_tì
转	zhuǎn_zhuàn_zhuǎi
议	yì
科	kē
器	qì
示	shì
确	què
许	xǔ_hǔ
今	jīn
例	lì
集	jí
信	xìn_shēn
记	jì
积	jī_zhǐ
群	qún
步	bù
整	zhěng
广	guǎng_ān_yǎn
风	fēng_fěng
传	chuán_zhuàn
界	jiè
华	huá_huà_huā
且	qiě_jū
元	yuán
离	lí_chī
压	yā_yà
研	yán_yàn
究	jiū
况	kuàng
书	shū
拉	lā_lá
类	lèi
节	jié_jiē
采	cǎi_cài
观	guān_guàn
越	yuè
众	zhòng_yín
持	chí
叫	jiào
油	yóu
速	sù
织	zhī_zhì
林	lín
段	duàn
难	nán_nàn_nuó
需	xū
非	fēi
复	fù
儿	ér_rén
律	lǜ
布	bù
际	jì
连	lián
算	suàn
深	shēn
容	róng
千	qiān
近	jìn
周	zhōu
影	yǐng
断	duàn
己	jǐ
办	bàn
须	xū
商	shāng
石	shí_dàn
青	qīng
米	mǐ
便	biàn_pián
感	gǎn
省	shěng_xǐng
支	zhī
何	hé_hē_hè
团	tuán_qiú
验	yàn
半	bàn
往	wǎng
约	yuē_yāo
太	tài
克	kè
劳	láo
历	lì
备	bèi_yuán
列	liè
低	dī
委	wěi_wēi
市	shì
史	shǐ
响	xiǎng
准	zhǔn
精	jīng
习	xí
消	xiāo
写	xiě
候	hòu
土	tǔ
称	chēng_chèn_chèng
技	jì
空	kōng_kòng_kǒng
府	fǔ
亲	qīn_qìng_qīng_xīn_zhēn
毛	máo
温	wēn_yùn
率	shuài_lǜ
院	yuàn
划	huá_huà_huai_guò_guǒ
装	zhuāng
存	cún
眼	yǎn
快	kuài
标	biāo
值	zhí
族	zú
王	wáng_wàng
查	chá_zhā
江	jiāng
斯	sī
素	sù
却	què
除	chú
号	hào_háo_xiāo
住	zhù
格	gé
参	cān_shēn_cēn_sān
满	mǎn
始	shǐ
般	bān_bō_pán
包	bāo
识	shí_zhì
专	zhuān
京	jīng
照	zhào
车	chē_jū
按	àn
选	xuǎn
火	huǒ
易	yì
厂	chǎng_ān_hàn_hǎn
听	tīng_yí_yǐn
该	gāi
红	hóng_gōng
属	shǔ_zhǔ
维	wéi
县	xiàn_xuán
严	yán
派	pài_pā
局	jú
讲	jiǎng
呢	ne_ní_nī
继	jì
首	shǒu
片	piàn_piān
构	gòu_gǒu
女	nǚ_rǔ
德	dé
死	sǐ
效	xiào
谈	tán
失	shī
神	shén
望	wàng
价	jià_jiè_jie
铁	tiě
酸	suān
底	dǐ_de
黄	huáng
随	suí
苏	sū_sù
引	yǐn
推	tuī
艺	yì
尔	ěr
官	guān
适	shì_kuò
批	pī
英	yīng
告	gào
席	xí
举	jǔ
李	lǐ
师	shī
势	shì
细	xì
帮	bāng
显	xiǎn
项	xiàng
状	zhuàng
字	zì
育	yù_yō
层	céng
破	pò
落	là_luò_lào
怎	zěn_zě
营	yíng
远	yuǎn_yuàn
士	shì
台	tái_tāi_sì_yí
企	qǐ_qì
爱	ài
言	yán
河	hé
配	pèi
围	wéi
型	xíng
服	fú_fù
朝	zhāo_cháo
轻	qīng
紧	jǐn
武	wǔ
仅	jǐn_jìn_fù_nú
另	lìng
章	zhāng
亚	yà
视	shì
封	fēng
密	mì
注	zhù
材	cái
案	àn
供	gōng_gòng
止	zhǐ
木	mù
续	xù
早	zǎo
防	fáng
护	hù
判	pàn
态	tài
司	sī
固	gù
似	sì_shì
罪	zuì
黑	hēi
充	chōng
兴	xīng_xìng
某	mǒu
树	shù
击	jī
致	zhì
圆	yuán
液	yè_yì
音	yīn
坚	jiān
足	zú
负	fù
害	hài
含	hán
余	yú
夫	fū_fú
排	pái_pǎi
费	fèi
源	yuán
觉	jué_jiào
范	fàn
左	zuǒ
够	gòu
差	chà_chā_chāi_cī
城	chéng
春	chūn
食	shí_sì_yì
兵	bīng
施	shī
富	fù
均	jūn
置	zhì
减	jiǎn
故	gù
虽	suī
曾	zēng_céng
占	zhān_zhàn
送	sòng
笑	xiào
试	shì
职	zhí
氧	yǎng
阳	yáng
汉	hàn_nǜ
留	liú
跟	gēn
修	xiū
巴	bā
创	chuàng_chuāng
助	zhù_chú
未	wèi
犯	fàn
初	chū
功	gōng
抗	kàng
田	tián
坏	huài_pēi_pī_péi
降	jiàng_xiáng
古	gǔ
尽	jìn_jǐn
互	hù
财	cái
溶	róng
病	bìng
叶	yè_xié
投	tóu
策	cè
责	zé_zhài
波	bō
令	líng_lǐng_lìng
独	dú
考	kǎo
右	yòu
请	qǐng
球	qiú
让	ràng
副	fù_pì
双	shuāng
检	jiǎn
宜	yí
杂	zá_duǒ
钱	qián
述	shù
限	xiàn
简	jiǎn
找	zhǎo
冲	chōng_chòng
端	duān
输	shū
倒	dǎo_dào
养	yǎng
敌	dí_huá
阿	ā_ē
超	chāo
换	huàn
州	zhōu
胜	shèng_qìng_shēng_xīng
帝	dì
依	yī
坐	zuò
纪	jì_jǐ
突	tū_tú
念	niàn
客	kè
绝	jué
升	shēng
陈	chén
略	lüè
益	yì
否	fǒu_pǐ
罗	luó_luō
仍	réng
吸	xī
苦	kǔ
错	cuò
承	chéng
友	yǒu
草	cǎo
夜	yè
微	wēi_wéi
优	yōu_yóu
画	huà
础	chǔ
协	xié
良	liáng
射	shè_yè_yì
曲	qū_qǔ
洋	yáng
村	cūn
矿	kuàng
终	zhōng
轮	lún
块	kuài_yué
环	huán
析	xī
径	jìng
哪	nǎ_něi_na_né
烈	liè
校	xiào_jiào
板	bǎn
云	yún
诉	sù
既	jì
迅	xùn
刻	kè
靠	kào
察	chá
逐	zhú
央	yāng
待	dài_dāi
母	mǔ
境	jìng
激	jī
渤	bó
模	mó_mú
控	kòng
卫	wèi
久	jiǔ
印	yìn
房	fáng_páng
停	tíng
甚	shèn_shén
皮	pí
洲	zhōu
搞	gǎo
息	xī_xí
移	yí
旧	jiù
拿	ná
若	ruò_rě
顶	dǐng
短	duǎn
湖	hú
括	kuò_guā
挥	huī
侵	qīn
甲	jiǎ
游	yóu
语	yǔ_yù
冷	lěng
普	pǔ
银	yín
乐	lè_yuè_yào_lào
医	yī_yì
烧	shāo
刘	liú
吗	má_mǎ_ma
针	zhēn
纸	zhǐ
粉	fěn
散	sàn_sǎn
急	jí
预	yù
扩	kuò
愿	yuàn
核	hé_hú
吧	bā_ba
龙	lóng
误	wù
欢	huān
孩	hái
盐	yán
善	shàn
雨	yǔ_yù
货	huò
讨	tǎo
测	cè
丝	sī
室	shì
混	hùn_hún
弹	dàn_tán
乎	hū
鲜	xiān_xiǎn
晚	wǎn
乱	luàn
沙	shā_shà
序	xù
缺	quē
获	huò
读	dú_dòu
鲁	lǔ
载	zǎi_zài
渐	jiàn_jiān
父	fù_fǔ
啊	ā_á_ǎ_à_a
演	yǎn
刚	gāng
守	shǒu
宁	níng_nìng_zhù
杀	shā
谓	wèi
刑	xíng
附	fù
担	dān_dàn_dǎn_jiē
贵	guì
班	bān
稳	wěn
钢	gāng_gàng
迫	pò_pǎi
答	dá_dā
距	jù
药	yào
假	jiǎ_jià
毫	háo
兰	lán
喜	xǐ
练	liàn
乙	yǐ_zhé
酒	jiǔ
盾	dùn
困	kùn
买	mǎi
福	fú
征	zhēng
阻	zǔ
损	sǔn
介	jiè
剂	jì
穿	chuān
钟	zhōng
顺	shùn
飞	fēi
丰	fēng
怕	pà
祖	zǔ
矛	máo
执	zhí
星	xīng
谁	shuí_shéi
血	xiě_xuè_xuě
背	bèi_bēi
掌	zhǎng
脱	tuō_tuì
希	xī
评	píng
沉	chén_chēn
概	gài
跑	pǎo_páo
熟	shú_shóu
伤	shāng
衣	yī_yì
械	xiè
烟	yān_yīn
审	shěn
扬	yáng
翻	fān
秋	qiū
露	lòu_lù
慢	màn
静	jìng
免	miǎn
促	cù
践	jiàn
脚	jiǎo_jué
妈	mā
补	bǔ
薄	báo_bó_bò
牛	niú
句	jù_gōu
握	wò
编	biān
庆	qìng
亮	liàng
笔	bǐ
居	jū
味	wèi
映	yìng
斤	jīn
培	péi
松	sōng
乡	xiāng_yuàn
诗	shī
异	yì_yí
孔	kǒng
顾	gù
呼	hū
香	xiāng
菜	cài
威	wēi
尼	ní
抓	zhuā
攻	gōng
奇	qí_jī
倍	bèi
临	lín
掉	diào
岁	suì
脸	liǎn
剧	jù
哥	gē
延	yán
末	mò
销	xiāo
皇	huáng
永	yǒng
汽	qì
景	jǐng_yǐng
娘	niáng
伟	wěi
齐	qí_jì_zī_zhāi
陆	lù_liù
赵	zhào
雷	léi
危	wēi
胡	hú
聚	jù
硫	liú
束	shù
轴	zhóu_zhòu
套	tào
座	zuò
粮	liáng
灯	dēng_dīng
课	kè
绍	shào
杨	yáng
怀	huái_fù
饭	fàn
赶	gǎn_qián
缩	suō_sù
额	é
孙	sūn_xùn
棉	mián
鼓	gǔ
宽	kuān
绿	lǜ_lù
川	chuān
夺	duó
归	guī
灭	miè
煤	méi
宗	zōng
衡	héng
卷	juàn_juǎn
盟	méng
弱	ruò
竟	jìng
镇	zhèn
途	tú
厚	hòu
触	chù_hóng
措	cuò
藏	cáng_zàng
玉	yù
哈	hā_hǎ_hà
零	líng
枪	qiāng
灵	líng
险	xiǎn
款	kuǎn
召	zhào_shào
遍	biàn
呀	yā_ya
敢	gǎn
恶	è_wù_ě_wū
借	jiè
歌	gē
脑	nǎo
泽	zé_shì
染	rǎn
庭	tíng
唱	chàng
训	xùn
堂	táng
域	yù
植	zhí
欧	ōu
宪	xiàn_hùn_mào_xiòng
裂	liè_liě
努	nǔ
彻	chè
探	tàn
沿	yán_yàn
户	hù
振	zhèn
粒	lì
频	pín_bīn
督	dū
袁	yuán
垂	chuí
纯	chún
纳	nà
折	zhē_zhé_shé
操	cāo_cào
暗	àn
耐	nài
份	fèn_bīn
录	lù
卖	mài
退	tuì
遇	yù
茶	chá
润	rùn
肉	ròu
康	kāng
唯	wéi_wěi
浓	nóng
胞	bāo
符	fú
雪	xuě
磁	cí
献	xiàn
船	chuán
忙	máng
追	zhuī_duī
伊	yī
税	shuì_tuàn_tuì_tuō
私	sī
篇	piān
盘	pán
夏	xià
卡	kǎ_qiǎ
盖	gài_gě_hé
丁	dīng_zhēng
季	jì
迎	yíng
予	yú_yǔ
架	jià
阴	yīn
刀	dāo
阵	zhèn
瓦	wǎ_wà
野	yě
盛	shèng_chéng
氢	qīng
削	xiāo_xuē
伸	shēn
索	suǒ
旗	qí
忽	hū
访	fǎng
累	léi_lěi_lèi
燃	rán
虑	lǜ_bì
迹	jì
亦	yì
典	diǎn
晶	jīng
雄	xióng
泛	fàn
谋	móu
托	tuō
透	tòu
横	héng_hèng_guāng_guàng_huáng_huàng
屋	wū
朱	zhū_shú
惊	jīng_liáng
奋	fèn_běn_gǎng_kǎng
替	tì
痛	tòng
裁	cái
抽	chōu
楚	chǔ
避	bì
硬	yìng
寨	zhài
床	chuáng
旁	páng_bàng
遗	yí_wèi
弟	dì_tì_tuí
洗	xǐ_xiǎn
幅	fú
毒	dú_dài
顿	dùn_dú
尚	shàng
塞	sāi_sài_sè
暴	bào_pù
谢	xiè
宝	bǎo
圈	quān_juàn_juān
招	zhāo
彩	cǎi
闻	wén
胶	jiāo_xiáo
残	cán
遭	zāo
爷	yé
斜	xié
警	jǐng
揭	jiē_qì
鱼	yú
释	shì
倾	qīng
潮	cháo
贯	guàn
偏	piān
摇	yáo
监	jiān_jiàn
购	gòu
徐	xú
付	fù
灰	huī
园	yuán_wán
摆	bǎi
殊	shū
蒸	zhēng
碎	suì
糖	táng
词	cí
耗	hào
赞	zàn
炮	páo_bāo_pào
吴	wú_tūn
愈	yù
堆	duī
骨	gǔ_gū
凯	kǎi
午	wǔ
桥	qiáo
巨	jù
救	jiù
荣	róng_cè
纷	fēn
秦	qín
订	dìng
旋	xuán_xuàn
割	gē
侧	cè_zè_zhāi
纤	xiān_qiàn
凡	fán
亡	wáng_wú
杆	gān_gǎn
弦	xián
馆	guǎn
恩	ēn
宋	sòng
妇	fù
吹	chuī
男	nán
版	bǎn
禁	jīn_jìn
繁	fán_pó
滑	huá_gǔ
败	bài
捕	bǔ
择	zé_zhái
唐	táng
播	bō
爸	bà
泥	ní_nì
跳	tiào_táo
君	jūn
湾	wān
碳	tàn
综	zōng_zèng
废	fèi
庄	zhuāng_péng
吨	dūn_tún_tǔn
库	kù
睛	jīng
楼	lóu
麻	má
涉	shè
尺	chǐ_chě
剥	bāo_bō_pū
伙	huǒ
麦	mài
坦	tǎn
嘴	zuǐ
鸡	jī
耳	ěr
荷	hé_hè
赛	sài
肥	féi
岸	àn
谷	gǔ_yù
扎	zā_zhā_zhá
铜	tóng
街	jiē
店	diàn
冬	dōng
炉	lú
姑	gū
恢	huī
彪	biāo
惯	guàn
朗	lǎng
秀	xiù
勇	yǒng
驻	zhù
贺	hè
肯	kěn
舞	wǔ
蒙	mēng_méng_měng
昌	chāng
粗	cū
抵	dǐ
贸	mào
亿	yì
俄	é
键	jiàn
您	nín
旅	lǚ
登	dēng
壁	bì
乘	chéng_shèng
井	jǐng
闪	shǎn
湿	shī
缓	huǎn
洪	hóng
秘	mì_bì
芳	fāng
汗	hàn_hán
闭	bì
卜	bǔ_bo
毕	bì
莫	mò_mù
津	jīn
挂	guà
逃	táo
磨	mó_mò
蛋	dàn
股	gǔ
黎	lí
塔	tǎ
塑	sù
贡	gòng
港	gǎng_jiǎng
腐	fǔ
筑	zhù_zhú
冰	bīng
净	jìng_chēng
健	jiàn
殖	zhí_shi
婚	hūn
奴	nú
插	chā
辩	biàn
纺	fǎng
刺	cì_cī
啦	lā_la
勒	lè_lēi
援	yuán
像	xiàng
仪	yí
萨	sà
徒	tú
弄	nòng_lòng
浪	làng
陷	xiàn
汇	huì
函	hán
休	xiū_xǔ
炼	liàn
舍	shě_shè
坡	pō
岛	dǎo
猪	zhū
郭	guō
隔	gé
氯	lǜ
忘	wàng
尖	jiān
伏	fú
浮	fú
虚	xū
朋	péng
授	shòu
玻	bō
睡	shuì
障	zhàng
辛	xīn
碱	jiǎn_xián
贫	pín
岩	yán
泪	lèi
臣	chén
疑	yí_nǐ
滚	gǔn
壮	zhuàng
梁	liáng
荡	dàng
启	qǐ
瑞	ruì
穷	qióng
甘	gān
箱	xiāng
童	tóng
淡	dàn
峰	fēng
纲	gāng
牙	yá
怪	guài
佛	fó_fú_bì_bó
脂	zhī
炸	zhà_zhá
幸	xìng
截	jié
牧	mù
售	shòu
蓝	lán
镜	jìng
震	zhèn
罢	bà_ba_pí
锅	guō
绕	rào
软	ruǎn
拥	yōng
尊	zūn
豆	dòu
礼	lǐ
剩	shèng
擦	cā
耕	gēng
颜	yán
泰	tài
菌	jūn_jùn
绩	jì_jī
勤	qín
竹	zhú
拖	tuō
尤	yóu
伍	wǔ
匀	yún_jūn_yùn
锋	fēng
爆	bào
刊	kān
姓	xìng
仿	fǎng
尾	wěi_yǐ
脉	mài_mò
违	wéi
欲	yù
筒	tǒng
洞	dòng
璃	lí
墨	mò
默	mò
邦	bāng
稍	shāo_shào
丽	lì_lí
珠	zhū
梅	méi
喝	hē_hè_yè
币	bì_yìn
窗	chuāng
氏	shì_zhī
潜	qián
抱	bào
森	sēn
袖	xiù
喊	hǎn
毁	huǐ_huì
艰	jiān
挑	tiāo_tiǎo
焦	jiāo
灾	zāi
泡	pào_pāo
摩	mó_mā
夹	jiā_jiá_gā
枝	zhī_qí
埃	āi
呈	chéng
咱	zán_zá_zǎ
描	miáo
池	chí
姐	jiě
寒	hán
宫	gōng
戴	dài
赤	chì
腰	yāo
寸	cùn
敬	jìng
懂	dǒng
忆	yì
洁	jié_jí
丹	dān
渡	dù
跃	yuè
贝	bèi
碰	pèng
凝	níng
诸	zhū
励	lì
幕	mù
柱	zhù
奖	jiǎng
缘	yuán
奶	nǎi
智	zhì
污	wū
奔	bēn_bèn
扫	sǎo_sào
隶	lì_dài_dì_yì
网	wǎng
饱	bǎo
魏	wèi
肃	sù
轨	guǐ
虎	hǔ
杜	dù
隐	yǐn_yìn
兄	xiōng
廷	tíng
鉴	jiàn
寻	xún
袋	dài
申	shēn
隆	lóng_lōng
诚	chéng
遵	zūn
票	piào_piāo
梦	mèng
哲	zhé
纱	shā
亩	mǔ
猛	měng
兼	jiān
埔	pǔ_bù
珍	zhēn
抢	qiāng_qiǎng_chēng
趣	qù_cù
厘	lí
允	yǔn
博	bó
鬼	guǐ
荒	huāng
铺	pū_pù
伦	lún
汤	tāng_shāng
恰	qià
拔	bá
恐	kǒng
弯	wān
晓	xiǎo
圣	shèng_kū
颗	kē
奏	zòu
妹	mèi
忠	zhōng
循	xún
沟	gōu
航	háng
柴	chái
碍	ài
舟	zhōu
寄	jì
钻	zuān_zuàn
抬	tái
郑	zhèng
稀	xī
页	yè
喷	pēn_pèn
摸	mō_mó
炭	tàn
巧	qiǎo
柯	kē
贴	tiē
桌	zhuō
劲	jìn_jìng
腾	téng
妻	qī_qì
铸	zhù
锐	ruì
陶	táo_yáo
弃	qì
赫	hè
乏	fá
阔	kuò
紫	zǐ
牌	pái
挤	jǐ
迷	mí
闹	nào
罚	fá
拍	pāi
码	mǎ
偶	ǒu
祥	xiáng
届	jiè
邻	lín
暂	zàn
膜	mó
乌	wū
磷	lín
胆	dǎn_dá_dàn_tán_tǎn
撤	chè
戏	xì_hū
辉	huī
讯	xùn
仁	rén
巩	gǒng
碧	bì
瓜	guā
忍	rěn
签	qiān
邓	dèng_shān
吉	jí
储	chǔ
桂	guì
递	dì
疗	liáo
宾	bīn
滴	dī
柬	jiǎn
绳	shéng
扰	rǎo_yòu
洛	luò
腿	tuǐ
详	xiáng_yáng
虫	chóng_huǐ
牲	shēng
悲	bēi
呆	dāi
齿	chǐ
狂	kuáng
柳	liǔ
暖	nuǎn
竞	jìng
链	liàn
催	cuī
仲	zhòng
烂	làn
醒	xǐng
挖	wā
纹	wén_wèn
哭	kū
畜	xù_chù
玩	wán
籍	jí
浅	qiǎn_jiān
缝	féng_fèng
怒	nù
貌	mào
悉	xī
乃	nǎi
踏	tà
柔	róu
享	xiǎng
赏	shǎng
冒	mào_mò
圭	guī
浆	jiāng_jiàng
晨	chén
彼	bǐ
呵	hē_a_kē
肩	jiān
爬	pá
皆	jiē
氨	ān
纵	zòng_zǒng
租	zū
尘	chén
巡	xún
绪	xù
瓶	píng
帽	mào
泉	quán
幼	yòu
稿	gǎo
钠	nà
冠	guān_guàn
弧	hú
趋	qū_cù
渔	yú
役	yì
伴	bàn
辟	bì_pì
抚	fǔ
伐	fá
凭	píng
纠	jiū
敏	mǐn
霸	bà
铝	lǚ
凤	fèng
羊	yáng_xiáng
婆	pó
袭	xí
祝	zhù
牢	láo
浙	zhè
锁	suǒ
译	yì
糊	hū_hú_hù
胸	xiōng
壳	ké_qiào
胁	xié
爹	diē
愤	fèn
涂	tú
疆	jiāng_qiáng
辈	bèi
迟	chí
龄	líng
奥	ào_yù_yōu
逆	nì
填	tián_zhèn
寿	shòu
轧	yà_zhá_gá
旦	dàn
恨	hèn
融	róng
署	shǔ
搬	bān
秩	zhì
铅	qiān_yán
盆	pén
鸣	míng
杯	bēi
灌	guàn
阀	fá
串	chuàn
豪	háo
患	huàn
挺	tǐng
沈	shěn_chén
掩	yǎn
乳	rǔ
鸟	niǎo_diǎo
韩	hán
贮	zhù
添	tiān
扣	kòu
逼	bī
悬	xuán
岭	lǐng_líng
宇	yǔ
臂	bì_bei
烯	xī
凉	liáng_liàng
朵	duǒ
侦	zhēn
秒	miǎo
稻	dào
番	fān_pān
眉	méi
驱	qū
螺	luó
氮	dàn
丈	zhàng
漫	màn
筹	chóu
琴	qín
厅	tīng
雾	wù
陕	shǎn
辽	liáo
巯	qiú
绘	huì
梯	tī
鞋	xié
拟	nǐ
孤	gū
拜	bài
僚	liáo
辑	jí
倡	chàng_chāng
丙	bǐng
仰	yǎng_áng
惜	xī_xí
斥	chì
扶	fú
漏	lòu
俗	sú
苗	miáo
姆	mǔ
辅	fǔ
拒	jù
偿	cháng
碗	wǎn
锡	xī
返	fǎn
狗	gǒu
鸿	hóng
辞	cí
埋	mái_mán
芽	yá
矩	jǔ
岗	gǎng
燥	zào
崇	chóng
庙	miào
咬	yǎo
赋	fù
奉	fèng
厉	lì
桃	táo
孟	mèng
摄	shè_niè
阅	yuè
涌	yǒng_chōng
啥	shá
妙	miào
勾	gōu_gòu
讼	sòng
橡	xiàng
蚀	shí
蜡	là_zhà_jí_qù
抛	pāo
狠	hěn
熙	xī
扭	niǔ
拨	bō
蒋	jiǎng
框	kuàng_kuāng
冻	dòng
亏	kuī_yú
嫩	nèn
叙	xù
剪	jiǎn
曼	màn
叛	pàn
杰	jié
劝	quàn
叔	shū_shú
熔	róng
饮	yǐn
仔	zī_zǐ_zǎi
骗	piàn
撞	zhuàng
桑	sāng
屈	qū
棒	bàng
赖	lài
刷	shuā_shuà
估	gū_gù
淀	diàn
吏	lì
笼	lóng_lǒng
簧	huáng
扇	shàn_shān
谱	pǔ
酷	kù
衰	shuāi_cuī
棚	péng
壤	rǎng
苯	běn
伪	wěi
轰	hōng
侨	qiáo
牵	qiān
鼻	bí
叹	tàn_yǐ_yòu
骂	mà
骤	zhòu
丧	sāng_sàng
旺	wàng
哩	li_lǐ_lī
隙	xì
曹	cáo
疾	jí
吐	tǔ_tù
册	cè_zhà
覆	fù
晋	jìn
扑	pū_pì_pǒ_pòu
御	yù
搜	sōu
仗	zhàng
昨	zuó
舒	shū
株	zhū
嘛	má_ma
欣	xīn
胀	zhàng
砂	shā
腔	qiāng
偷	tōu
络	luò_lào
顽	wán
涨	zhǎng_zhàng
甜	tián
吊	diào
盗	dào
杭	háng
尸	shī
捉	zhuō
毅	yì
迈	mài
脏	zàng
狱	yù
搭	dā
飘	piāo
炎	yán
瘦	shòu
浸	jìn
硅	guī
跨	kuà
浇	jiāo
粘	nián_zhān
雅	yǎ
昆	kūn
槽	cáo
漆	qī
抑	yì
悄	qiǎo_qiāo
蓄	xù
锦	jǐn
歪	wāi
贷	dài
烦	fán
撒	sā_sǎ
沸	fèi
闲	xián
亭	tíng
肚	dù_dǔ
掘	jué
邀	yāo
郎	láng_làng
浩	hào
燕	yàn_yān
漂	piāo_piǎo_piào
惩	chéng
妥	tuǒ
傅	fù
牺	xī
贪	tān
迁	qiān
渠	qú_jù
丢	diū
鸭	yā
绒	róng
钉	dīng_dìng
滩	tān
帐	zhàng
硝	xiāo
耀	yào
膨	péng
邮	yóu_dí
贤	xián
誉	yù
瓷	cí
欺	qī
丛	cóng
抹	mǒ_mò_mā
忧	yōu_yòu
陪	péi
吾	wú_yù
劣	liè
惠	huì
钾	jiǎ
焰	yàn
徽	huī
堡	bǎo_bǔ_pù
凶	xiōng
