的	[※※※※※,※rqyy※,※de_dí_dì※,※GB2312※]
著	[※※※※※,※aftj※,※zhù_zhuó_zhe_zháo※,※GB2312※]
着	[※※※※※,※udhf※,※zhe_zhuó_zháo_zhāo※,※GB2312※]
得	[※※※※※,※tjgf※,※dé_děi_de※,※GB2312※]
定	[※※※※※,※pghu※,※dìng※,※GB2312※]
法	[※※※※※,※ifcy※,※fǎ_fà※,※GB2312※]
民	[※※※※,※nav※,※mín※,※GB2312※]
所	[※※※※※,※rnrh※,※suǒ※,※GB2312※]
经	[※※※※※,※xcag※,※jīng※,※GB2312※]
十	[※※※※,※fgh※,※shí※,※GB2312※]
三	[※※※※※,※dggg※,※sān※,※GB2312※]
之	[※※※※※,※pppp※,※zhī※,※GB2312※]
进	[※※※※※,※fjpk※,※jìn※,※GB2312※]
家	[※※※※,※peu※,※jiā_jia_jie※,※GB2312※]
等	[※※※※※,※tffu※,※děng※,※GB2312※]
部	[※※※※※,※ukbh※,※bù※,※GB2312※]
里	[※※※※,※jfd※,※lǐ※,※GB2312※]
都	[※※※※※,※ftjb※,※dōu_dū※,※GB2312※]
自	[※※※※,※thd※,※zì※,※GB2312※]
二	[※※※※,※fgg※,※èr※,※GB2312※]
如	[※※※※,※vkg※,※rú※,※GB2312※]
理	[※※※※※,※gjfg※,※lǐ※,※GB2312※]
起	[※※※※※,※fhnv※,※qǐ※,※GB2312※]
力	[※※※※,※ltn※,※lì※,※GB2312※]
长	[※※※※※,※tayi※,※cháng_zhǎng※,※GB2312※]
化	[※※※※,※wxn※,※huà_huā※,※GB2312※]
现	[※※※※※,※gmqn※,※xiàn※,※GB2312※]
小	[※※※※※,※ihty※,※xiǎo※,※GB2312※]
度	[※※※※※,※yaci※,※dù_duó※,※GB2312※]
实	[※※※※※,※pudu※,※shí※,※GB2312※]
点	[※※※※※,※hkou※,※diǎn※,※GB2312※]
高	[※※※※※,※ymkf※,※gāo※,※GB2312※]
还	[※※※※※,※gipi※,※hái_huán_fú※,※GB2312※]
当	[※※※※,※ivf※,※dāng_dàng※,※GB2312※]
电	[※※※※,※jnv※,※diàn※,※GB2312※]
加	[※※※※,※lkg※,※jiā※,※GB2312※]
两	[※※※※※,※gmww※,※liǎng※,※GB2312※]
从	[※※※※,※wwy※,※cóng_zòng※,※GB2312※]
去	[※※※※,※fcu※,※qù※,※GB2312※]
物	[※※※※※,※trqr※,※wù※,※GB2312※]
把	[※※※※,※rcn※,※bǎ_bà※,※GB2312※]
本	[※※※※,※sgd※,※běn※,※GB2312※]
好	[※※※※,※vbg※,※hǎo_hào※,※GB2312※]
水	[※※※※※,※iiii※,※shuǐ※,※GB2312※]
制	[※※※※※,※rmhj※,※zhì※,※GB2312※]
体	[※※※※※,※wsgg※,※tǐ_tī_bèn※,※GB2312※]
开	[※※※※,※gak※,※kāi_jiān_qiān※,※GB2312※]
业	[※※※※,※ogd※,※yè_qiū※,※GB2312※]
重	[※※※※※,※tgjf※,※zhòng_chóng※,※GB2312※]
使	[※※※※※,※wgkq※,※shǐ※,※GB2312※]
天	[※※※※,※gdi※,※tiān※,※GB2312※]
然	[※※※※※,※qdou※,※rán※,※GB2312※]
些	[※※※※※,※hxff※,※xiē_suò※,※GB2312※]
量	[※※※※※,※jgjf※,※liáng_liàng※,※GB2312※]
前	[※※※※※,※uejj※,※qián※,※GB2312※]
四	[※※※※※,※lhng※,※sì※,※GB2312※]
那	[※※※※※,※vfbh※,※nà_nǎ_nèi_nā_nè_nuó※,※GB2312※]
外	[※※※※,※qhy※,※wài※,※GB2312※]
事	[※※※※※,※gkvh※,※shì※,※GB2312※]
它	[※※※※,※pxb※,※tā※,※GB2312※]
名	[※※※※,※qkf※,※míng※,※GB2312※]
合	[※※※※※,※wgkf※,※hé_gě※,※GB2312※]
因	[※※※※,※ldi※,※yīn※,※GB2312※]
应	[※※※※,※yid※,※yīng_yìng※,※GB2312※]
由	[※※※※※,※mhng※,※yóu※,※GB2312※]
其	[※※※※※,※adwu※,※qí_jī※,※GB2312※]
日	[※※※※※,※jjjj※,※rì※,※GB2312※]
性	[※※※※※,※ntgg※,※xìng※,※GB2312※]
社	[※※※※※,※pyfg※,※shè※,※GB2312※]
义	[※※※※,※yqi※,※yì_chā※,※GB2312※]
全	[※※※※,※wgf※,※quán※,※GB2312※]
样	[※※※※※,※sudh※,※yàng_yáng※,※GB2312※]
政	[※※※※※,※ghty※,※zhèng※,※GB2312※]
表	[※※※※,※geu※,※biǎo※,※GB2312※]
机	[※※※※,※smn※,※jī_jǐ_wèi※,※GB2312※]
关	[※※※※,※udu※,※guān_xiào※,※GB2312※]
新	[※※※※※,※usrh※,※xīn※,※GB2312※]
平	[※※※※※,※guhk※,※píng※,※GB2312※]
各	[※※※※,※tkf※,※gè_gě※,※GB2312※]
相	[※※※※,※shg※,※xiāng_xiàng※,※GB2312※]
间	[※※※※,※ujd※,※jiān_jiàn※,※GB2312※]
心	[※※※※※,※nyny※,※xīn※,※GB2312※]
正	[※※※※,※ghd※,※zhèng_zhēng※,※GB2312※]
与	[※※※※※,※gngd※,※yǔ_yù_yú※,※GB2312※]
西	[※※※※※,※sghg※,※xī※,※GB2312※]
形	[※※※※※,※gaet※,※xíng※,※GB2312※]
反	[※※※※,※rci※,※fǎn※,※GB2312※]
看	[※※※※,※rhf※,※kàn_kān※,※GB2312※]
明	[※※※※,※jeg※,※míng※,※GB2312※]
又	[※※※※※,※cccc※,※yòu※,※GB2312※]
么	[※※※※,※tcu※,※me_mó_ma_yāo※,※GB2312※]
内	[※※※※,※mwi※,※nèi_nà_ruì※,※GB2312※]
你	[※※※※※,※wqiy※,※nǐ※,※GB2312※]
但	[※※※※※,※wjgg※,※dàn※,※GB2312※]
利	[※※※※,※tjh※,※lì※,※GB2312※]
道	[※※※※※,※uthp※,※dào※,※GB2312※]
原	[※※※※※,※drii※,※yuán※,※GB2312※]
没	[※※※※※,※imcy※,※méi_mò_me※,※GB2312※]
第	[※※※※※,※txht※,※dì※,※GB2312※]
比	[※※※※,※xxn※,※bǐ_bì※,※GB2312※]
命	[※※※※※,※wgkb※,※mìng※,※GB2312※]
数	[※※※※※,※ovty※,※shù_shǔ_shuò※,※GB2312※]
只	[※※※※,※kwu※,※zhī_zhǐ※,※GB2312※]
线	[※※※※,※xgt※,※xiàn※,※GB2312※]
向	[※※※※※,※tmkd※,※xiàng※,※GB2312※]
问	[※※※※,※ukd※,※wèn※,※GB2312※]
意	[※※※※※,※ujnu※,※yì※,※GB2312※]
站	[※※※※※,※uhkg※,※zhàn※,※GB2312※]
此	[※※※※,※hxn※,※cǐ※,※GB2312※]
或	[※※※※※,※akgd※,※huò※,※GB2312※]
条	[※※※※,※tsu※,※tiáo_tiāo※,※GB2312※]
无	[※※※※,※fqv※,※wú_mó※,※GB2312※]
公	[※※※※,※wcu※,※gōng※,※GB2312※]
质	[※※※※※,※rfmi※,※zhì※,※GB2312※]
结	[※※※※※,※xfkg※,※jié_jiē※,※GB2312※]
解	[※※※※※,※qevh※,※jiě_jiè_xiè※,※GB2312※]
情	[※※※※※,※ngeg※,※qíng※,※GB2312※]
建	[※※※※※,※vfhp※,※jiàn※,※GB2312※]
月	[※※※※※,※eeee※,※yuè※,※GB2312※]
想	[※※※※※,※shnu※,※xiǎng※,※GB2312※]
很	[※※※※※,※tvey※,※hěn※,※GB2312※]
变	[※※※※※,※yocu※,※biàn※,※GB2312※]
者	[※※※※※,※ftjf※,※zhě※,※GB2312※]
代	[※※※※,※way※,※dài※,※GB2312※]
已	[※※※※※,※nnnn※,※yǐ※,※GB2312※]
立	[※※※※※,※uuuu※,※lì※,※GB2312※]
系	[※※※※※,※txiu※,※xì_jì※,※GB2312※]
军	[※※※※,※plj※,※jūn※,※GB2312※]
最	[※※※※※,※jbcu※,※zuì※,※GB2312※]
并	[※※※※,※uaj※,※bìng_bīng※,※GB2312※]
提	[※※※※※,※rjgh※,※tí_dī_dǐ※,※GB2312※]
党	[※※※※※,※ipkq※,※dǎng※,※GB2312※]
题	[※※※※※,※jghm※,※tí※,※GB2312※]
气	[※※※※,※rnb※,※qì_qǐ※,※GB2312※]
五	[※※※※※,※gghg※,※wǔ※,※GB2312※]
展	[※※※※※,※naei※,※zhǎn※,※GB2312※]
象	[※※※※※,※qjeu※,※xiàng※,※GB2312※]
文	[※※※※※,※yygy※,※wén※,※GB2312※]
通	[※※※※※,※cepk※,※tōng_tòng※,※GB2312※]
总	[※※※※※,※uknu※,※zǒng※,※GB2312※]
果	[※※※※,※jsi※,※guǒ※,※GB2312※]
次	[※※※※※,※uqwy※,※cì※,※GB2312※]
员	[※※※※,※kmu※,※yuán_yún_yùn※,※GB2312※]
革	[※※※※,※afj※,※gé_jí※,※GB2312※]
活	[※※※※※,※itdg※,※huó※,※GB2312※]
程	[※※※※※,※tkgg※,※chéng※,※GB2312※]
常	[※※※※※,※ipkh※,※cháng※,※GB2312※]
头	[※※※※,※udi※,※tóu_tou※,※GB2312※]
位	[※※※※,※wug※,※wèi※,※GB2312※]
老	[※※※※※,※ftxb※,※lǎo※,※GB2312※]
直	[※※※※,※fhf※,※zhí※,※GB2312※]
入	[※※※※,※tyi※,※rù※,※GB2312※]
特	[※※※※※,※trff※,※tè※,※GB2312※]
品	[※※※※※,※kkkf※,※pǐn※,※GB2312※]
件	[※※※※※,※wrhh※,※jiàn※,※GB2312※]
山	[※※※※※,※mmmm※,※shān※,※GB2312※]
见	[※※※※,※mqb※,※jiàn_xiàn※,※GB2312※]
路	[※※※※※,※khtk※,※lù※,※GB2312※]
求	[※※※※※,※fiyi※,※qiú※,※GB2312※]
管	[※※※※※,※tpnn※,※guǎn※,※GB2312※]
及	[※※※※,※eyi※,※jí※,※GB2312※]
级	[※※※※※,※xeyy※,※jí※,※GB2312※]
少	[※※※※,※itr※,※shǎo_shào※,※GB2312※]
基	[※※※※※,※adwf※,※jī※,※GB2312※]
别	[※※※※※,※kljh※,※bié_biè※,※GB2312※]
设	[※※※※※,※ymcy※,※shè※,※GB2312※]
式	[※※※※,※aad※,※shì※,※GB2312※]
资	[※※※※※,※uqwm※,※zī※,※GB2312※]
知	[※※※※※,※tdkg※,※zhī_zhì※,※GB2312※]
组	[※※※※※,※xegg※,※zǔ※,※GB2312※]
几	[※※※※,※mtn※,※jī_jǐ※,※GB2312※]
手	[※※※※※,※rtgh※,※shǒu※,※GB2312※]
论	[※※※※※,※ywxn※,※lùn_lún※,※GB2312※]
统	[※※※※※,※xycq※,※tǒng※,※GB2312※]
接	[※※※※※,※ruvg※,※jiē※,※GB2312※]
农	[※※※※,※pei※,※nóng※,※GB2312※]
被	[※※※※※,※puhc※,※bèi_pī※,※GB2312※]
边	[※※※※,※lpv※,※biān※,※GB2312※]
指	[※※※※※,※rxjg※,※zhǐ※,※GB2312※]
将	[※※※※※,※uqfy※,※jiāng_jiàng※,※GB2312※]
料	[※※※※※,※oufh※,※liào※,※GB2312※]
九	[※※※※,※vtn※,※jiǔ※,※GB2312※]
决	[※※※※※,※unwy※,※jué※,※GB2312※]
先	[※※※※※,※tfqb※,※xiān※,※GB2312※]
根	[※※※※※,※svey※,※gēn※,※GB2312※]
期	[※※※※※,※adwe※,※qī_jī_qí※,※GB2312※]
计	[※※※※,※yfh※,※jì※,※GB2312※]
强	[※※※※※,※xkjy※,※qiáng_qiǎng_jiàng※,※GB2312※]
干	[※※※※※,※fggh※,※gān_gàn※,※GB2312※]
战	[※※※※※,※hkat※,※zhàn※,※GB2312※]
回	[※※※※,※lkd※,※huí※,※GB2312※]
放	[※※※※,※yty※,※fàng※,※GB2312※]
她	[※※※※,※vbn※,※tā_jiě※,※GB2312※]
给	[※※※※※,※xwgk※,※gěi_jǐ※,※GB2312※]
任	[※※※※※,※wtfg※,※rèn_rén※,※GB2312※]
运	[※※※※※,※fcpi※,※yùn_yǔn※,※GB2312※]
做	[※※※※※,※wdty※,※zuò※,※GB2312※]
必	[※※※※,※nte※,※bì※,※GB2312※]
流	[※※※※※,※iycq※,※liú※,※GB2312※]
区	[※※※※,※aqi※,※qū_ōu※,※GB2312※]
取	[※※※※,※bcy※,※qǔ※,※GB2312※]
门	[※※※※※,※uyhn※,※mén※,※GB2312※]
处	[※※※※,※thi※,※chǔ_chù※,※GB2312※]
据	[※※※※※,※rndg※,※jù_jū※,※GB2312※]
南	[※※※※※,※fmuf※,※nán_nā※,※GB2312※]
则	[※※※※,※mjh※,※zé※,※GB2312※]
队	[※※※※,※bwy※,※duì※,※GB2312※]
图	[※※※※※,※ltui※,※tú※,※GB2312※]
北	[※※※※,※uxn※,※běi_bèi※,※GB2312※]
百	[※※※※,※djf※,※bǎi※,※GB2312※]
光	[※※※※,※iqb※,※guāng※,※GB2312※]
治	[※※※※※,※ickg※,※zhì※,※GB2312※]
东	[※※※※,※aii※,※dōng※,※GB2312※]
保	[※※※※※,※wksy※,※bǎo※,※GB2312※]
志	[※※※※,※fnu※,※zhì※,※GB2312※]
较	[※※※※※,※luqy※,※jiào※,※GB2312※]
领	[※※※※※,※wycm※,※lǐng※,※GB2312※]
海	[※※※※※,※itxu※,※hǎi※,※GB2312※]
口	[※※※※※,※kkkk※,※kǒu※,※GB2312※]
七	[※※※※,※agn※,※qī※,※GB2312※]
导	[※※※※,※nfu※,※dǎo※,※GB2312※]
调	[※※※※※,※ymfk※,※tiáo_diào_zhōu※,※GB2312※]
即	[※※※※※,※vcbh※,※jí※,※GB2312※]
什	[※※※※,※wfh※,※shí_shén_shé※,※GB2312※]
造	[※※※※※,※tfkp※,※zào※,※GB2312※]
金	[※※※※※,※qqqq※,※jīn※,※GB2312※]
吃	[※※※※※,※ktnn※,※chī_jí※,※GB2312※]
规	[※※※※※,※fwmq※,※guī※,※GB2312※]
争	[※※※※※,※qvhj※,※zhēng※,※GB2312※]
思	[※※※※,※lnu※,※sī_sāi※,※GB2312※]
世	[※※※※,※anv※,※shì※,※GB2312※]
共	[※※※※,※awu※,※gòng_gōng※,※GB2312※]
六	[※※※※※,※uygy※,※liù_lù※,※GB2312※]
认	[※※※※,※ywy※,※rèn※,※GB2312※]
交	[※※※※,※uqu※,※jiāo※,※GB2312※]
受	[※※※※※,※epcu※,※shòu※,※GB2312※]
阶	[※※※※※,※bwjh※,※jiē※,※GB2312※]
色	[※※※※,※qcb※,※sè_shǎi※,※GB2312※]
联	[※※※※※,※budy※,※lián※,※GB2312※]
极	[※※※※※,※seyy※,※jí※,※GB2312※]
美	[※※※※※,※ugdu※,※měi※,※GB2312※]
济	[※※※※※,※iyjh※,※jì_jǐ※,※GB2312※]
更	[※※※※※,※gjqi※,※gēng_gèng※,※GB2312※]
打	[※※※※,※rsh※,※dǎ_dá※,※GB2312※]
改	[※※※※,※nty※,※gǎi※,※GB2312※]
再	[※※※※※,※gmfd※,※zài※,※GB2312※]
增	[※※※※※,※fulj※,※zēng※,※GB2312※]
收	[※※※※※,※nhty※,※shōu※,※GB2312※]
清	[※※※※※,※igeg※,※qīng※,※GB2312※]
切	[※※※※,※avn※,※qiē_qiè※,※GB2312※]
真	[※※※※※,※fhwu※,※zhēn※,※GB2312※]
教	[※※※※※,※ftbt※,※jiào_jiāo※,※GB2312※]
场	[※※※※※,※fnrt※,※cháng_chǎng※,※GB2312※]
权	[※※※※,※scy※,※quán_shù※,※GB2312※]
安	[※※※※,※pvf※,※ān※,※GB2312※]
万	[※※※※,※dnv※,※wàn_mò※,※GB2312※]
术	[※※※※,※syi※,※shù_shú_zhú※,※GB2312※]
证	[※※※※※,※yghg※,※zhèng※,※GB2312※]
身	[※※※※※,※tmdt※,※shēn※,※GB2312※]
务	[※※※※,※tlb※,※wù※,※GB2312※]
走	[※※※※,※fhu※,※zǒu※,※GB2312※]
带	[※※※※※,※gkph※,※dài※,※GB2312※]
斗	[※※※※,※ufk※,※dǒu_dòu※,※GB2312※]
角	[※※※※,※qej※,※jiǎo_jué※,※GB2312※]
单	[※※※※※,※ujfj※,※dān_shàn_chán※,※GB2312※]
花	[※※※※※,※awxb※,※huā※,※GB2312※]
目	[※※※※※,※hhhh※,※mù※,※GB2312※]
完	[※※※※※,※pfqb※,※wán※,※GB2312※]
声	[※※※※,※fnr※,※shēng_qìng※,※GB2312※]
热	[※※※※※,※rvyo※,※rè※,※GB2312※]
报	[※※※※※,※rbcy※,※bào※,※GB2312※]
八	[※※※※,※wty※,※bā※,※GB2312※]
白	[※※※※※,※rrrr※,※bái※,※GB2312※]
才	[※※※※,※fte※,※cái※,※GB2312※]
具	[※※※※,※hwu※,※jù※,※GB2312※]
至	[※※※※※,※gcff※,※zhì※,※GB2312※]
张	[※※※※※,※xtay※,※zhāng※,※GB2312※]
马	[※※※※※,※cnng※,※mǎ※,※GB2312※]
每	[※※※※※,※txgu※,※měi※,※GB2312※]
话	[※※※※※,※ytdg※,※huà※,※GB2312※]
达	[※※※※,※dpi※,※dá_tà_tì※,※GB2312※]
转	[※※※※※,※lfny※,※zhuǎn_zhuàn_zhuǎi※,※GB2312※]
议	[※※※※※,※yyqy※,※yì※,※GB2312※]
科	[※※※※※,※tufh※,※kē※,※GB2312※]
器	[※※※※※,※kkdk※,※qì※,※GB2312※]
示	[※※※※,※fiu※,※shì※,※GB2312※]
确	[※※※※※,※dqeh※,※què※,※GB2312※]
许	[※※※※※,※ytfh※,※xǔ_hǔ※,※GB2312※]
今	[※※※※※,※wynb※,※jīn※,※GB2312※]
例	[※※※※※,※wgqj※,※lì※,※GB2312※]
集	[※※※※※,※wysu※,※jí※,※GB2312※]
信	[※※※※,※wyg※,※xìn_shēn※,※GB2312※]
记	[※※※※,※ynn※,※jì※,※GB2312※]
积	[※※※※※,※tkwy※,※jī_zhǐ※,※GB2312※]
群	[※※※※※,※vtkd※,※qún※,※GB2312※]
步	[※※※※,※hir※,※bù※,※GB2312※]
整	[※※※※※,※gkih※,※zhěng※,※GB2312※]
广	[※※※※※,※yygt※,※guǎng_ān_yǎn※,※GB2312※]
风	[※※※※,※mqi※,※fēng_fěng※,※GB2312※]
传	[※※※※※,※wfny※,※chuán_zhuàn※,※GB2312※]
界	[※※※※※,※lwjj※,※jiè※,※GB2312※]
华	[※※※※※,※wxfj※,※huá_huà_huā※,※GB2312※]
且	[※※※※,※egd※,※qiě_jū※,※GB2312※]
元	[※※※※,※fqb※,※yuán※,※GB2312※]
离	[※※※※※,※ybmc※,※lí_chī※,※GB2312※]
压	[※※※※※,※dfyi※,※yā_yà※,※GB2312※]
研	[※※※※※,※dgah※,※yán_yàn※,※GB2312※]
究	[※※※※※,※pwvb※,※jiū※,※GB2312※]
况	[※※※※※,※ukqn※,※kuàng※,※GB2312※]
书	[※※※※※,※nnhy※,※shū※,※GB2312※]
拉	[※※※※,※rug※,※lā_lá※,※GB2312※]
类	[※※※※,※odu※,※lèi※,※GB2312※]
节	[※※※※,※abj※,※jié_jiē※,※GB2312※]
采	[※※※※,※esu※,※cǎi_cài※,※GB2312※]
观	[※※※※※,※cmqn※,※guān_guàn※,※GB2312※]
越	[※※※※※,※fhat※,※yuè※,※GB2312※]
众	[※※※※※,※wwwu※,※zhòng_yín※,※GB2312※]
持	[※※※※※,※rffy※,※chí※,※GB2312※]
叫	[※※※※※,※knhh※,※jiào※,※GB2312※]
油	[※※※※,※img※,※yóu※,※GB2312※]
速	[※※※※※,※gkip※,※sù※,※GB2312※]
织	[※※※※※,※xkwy※,※zhī_zhì※,※GB2312※]
林	[※※※※,※ssy※,※lín※,※GB2312※]
段	[※※※※※,※wdmc※,※duàn※,※GB2312※]
难	[※※※※※,※cwyg※,※nán_nàn_nuó※,※GB2312※]
需	[※※※※※,※fdmj※,※xū※,※GB2312※]
非	[※※※※※,※djdd※,※fēi※,※GB2312※]
复	[※※※※※,※tjtu※,※fù※,※GB2312※]
儿	[※※※※,※qtn※,※ér_rén※,※GB2312※]
律	[※※※※※,※tvfh※,※lǜ※,※GB2312※]
布	[※※※※※,※dmhj※,※bù※,※GB2312※]
际	[※※※※※,※bfiy※,※jì※,※GB2312※]
连	[※※※※,※lpk※,※lián※,※GB2312※]
算	[※※※※※,※thaj※,※suàn※,※GB2312※]
深	[※※※※※,※ipws※,※shēn※,※GB2312※]
容	[※※※※※,※pwwk※,※róng※,※GB2312※]
千	[※※※※,※tfk※,※qiān※,※GB2312※]
近	[※※※※,※rpk※,※jìn※,※GB2312※]
周	[※※※※※,※mfkd※,※zhōu※,※GB2312※]
影	[※※※※※,※jyie※,※yǐng※,※GB2312※]
断	[※※※※※,※onrh※,※duàn※,※GB2312※]
己	[※※※※※,※nngn※,※jǐ※,※GB2312※]
办	[※※※※,※lwi※,※bàn※,※GB2312※]
须	[※※※※※,※edmy※,※xū※,※GB2312※]
商	[※※※※※,※umwk※,※shāng※,※GB2312※]
石	[※※※※※,※dgtg※,※shí_dàn※,※GB2312※]
青	[※※※※,※gef※,※qīng※,※GB2312※]
米	[※※※※※,※oyty※,※mǐ※,※GB2312※]
便	[※※※※※,※wgjq※,※biàn_pián※,※GB2312※]
感	[※※※※※,※dgkn※,※gǎn※,※GB2312※]
省	[※※※※※,※ithf※,※shěng_xǐng※,※GB2312※]
支	[※※※※,※fcu※,※zhī※,※GB2312※]
何	[※※※※※,※wskg※,※hé_hē_hè※,※GB2312※]
团	[※※※※※,※lfte※,※tuán_qiú※,※GB2312※]
验	[※※※※※,※cwgi※,※yàn※,※GB2312※]
半	[※※※※,※ufk※,※bàn※,※GB2312※]
往	[※※※※※,※tygg※,※wǎng※,※GB2312※]
约	[※※※※※,※xqyy※,※yuē_yāo※,※GB2312※]
太	[※※※※,※dyi※,※tài※,※GB2312※]
克	[※※※※,※dqb※,※kè※,※GB2312※]
劳	[※※※※※,※aplb※,※láo※,※GB2312※]
历	[※※※※,※dlv※,※lì※,※GB2312※]
备	[※※※※,※tlf※,※bèi_yuán※,※GB2312※]
列	[※※※※※,※gqjh※,※liè※,※GB2312※]
低	[※※※※※,※wqay※,※dī※,※GB2312※]
委	[※※※※,※tvf※,※wěi_wēi※,※GB2312※]
市	[※※※※※,※ymhj※,※shì※,※GB2312※]
史	[※※※※,※kqi※,※shǐ※,※GB2312※]
响	[※※※※※,※ktmk※,※xiǎng※,※GB2312※]
准	[※※※※※,※uwyg※,※zhǔn※,※GB2312※]
精	[※※※※※,※ogeg※,※jīng※,※GB2312※]
习	[※※※※,※nud※,※xí※,※GB2312※]
消	[※※※※※,※iieg※,※xiāo※,※GB2312※]
写	[※※※※※,※pgng※,※xiě※,※GB2312※]
候	[※※※※※,※whnd※,※hòu※,※GB2312※]
土	[※※※※※,※ffff※,※tǔ※,※GB2312※]
称	[※※※※※,※tqiy※,※chēng_chèn_chèng※,※GB2312※]
技	[※※※※※,※rfcy※,※jì※,※GB2312※]
空	[※※※※※,※pwaf※,※kōng_kòng_kǒng※,※GB2312※]
府	[※※※※※,※ywfi※,※fǔ※,※GB2312※]
亲	[※※※※,※usu※,※qīn_qìng_qīng_xīn_zhēn※,※GB2312※]
毛	[※※※※※,※tfnv※,※máo※,※GB2312※]
温	[※※※※※,※ijlg※,※wēn_yùn※,※GB2312※]
率	[※※※※※,※yxif※,※shuài_lǜ※,※GB2312※]
院	[※※※※※,※bpfq※,※yuàn※,※GB2312※]
划	[※※※※,※ajh※,※huá_huà_huai_guò_guǒ※,※GB2312※]
装	[※※※※※,※ufye※,※zhuāng※,※GB2312※]
存	[※※※※※,※dhbd※,※cún※,※GB2312※]
眼	[※※※※※,※hvey※,※yǎn※,※GB2312※]
快	[※※※※※,※nnwy※,※kuài※,※GB2312※]
标	[※※※※※,※sfiy※,※biāo※,※GB2312※]
值	[※※※※※,※wfhg※,※zhí※,※GB2312※]
族	[※※※※※,※yttd※,※zú※,※GB2312※]
王	[※※※※※,※gggg※,※wáng_wàng※,※GB2312※]
查	[※※※※※,※sjgf※,※chá_zhā※,※GB2312※]
江	[※※※※,※iag※,※jiāng※,※GB2312※]
斯	[※※※※※,※adwr※,※sī※,※GB2312※]
素	[※※※※※,※gxiu※,※sù※,※GB2312※]
却	[※※※※※,※fcbh※,※què※,※GB2312※]
除	[※※※※※,※bwty※,※chú※,※GB2312※]
号	[※※※※※,※kgnb※,※hào_háo_xiāo※,※GB2312※]
住	[※※※※※,※wygg※,※zhù※,※GB2312※]
